;title;company;location;Link
0;Data Engineer;NTT DATA;Chorrillos, Lima;https://www.bumeran.com.pe/empleos/data-engineer-ntt-data-1115960702.html
35;Data Engineer Azure;NTT DATA;Lima, Lima;https://www.bumeran.com.pe/empleos/data-engineer-azure-ntt-data-1115957443.html
61;Data Engineer Big Data;Zoluxiones SAC;Surquillo, Lima;https://www.bumeran.com.pe/empleos/data-engineer-big-data-zoluxiones-sac-1115986230.html
87;DATA ENGINEER;Cencosud Perú S.A;Miraflores, Lima;https://www.bumeran.com.pe/empleos/data-engineer-cencosud-peru-s.a-1115994254.html
110;Data Engineer;Zoluxiones SAC;Miraflores, Lima;https://www.bumeran.com.pe/empleos/data-engineer-zoluxiones-sac-1115985492.html
136;Data Enabler;UNIVERSIDAD TECNOLOGICA DEL PERU;Cercado De Lima, Lima;https://www.bumeran.com.pe/empleos/data-enabler-universidad-tecnologica-del-peru-1115968209.html
159;Data Governance;Bluetab Solutions;San Isidro, Lima;https://www.bumeran.com.pe/empleos/data-governance-bluetab-solutions-1115828627.html
185;Data Scientist;Zoluxiones SAC;Miraflores, Lima;https://www.bumeran.com.pe/empleos/data-scientist-zoluxiones-sac-1115985501.html
211;Data Developer;Bluetab Solutions;San Isidro, Lima;https://www.bumeran.com.pe/empleos/data-developer-bluetab-solutions-1115704002.html
237;Data Analyst;INTERCORP RETAIL;Lima, Lima;https://www.bumeran.com.pe/empleos/data-analyst-intercorp-retail-1115958955.html
263;Data Modeler;Bluetab Solutions;Perú;https://www.bumeran.com.pe/empleos/data-modeler-bluetab-solutions-1115895211.html
287;Data Scientist;Cooperativa de Ahorro y Crédito Pacífico;Perú;https://www.bumeran.com.pe/empleos/data-scientist-cooperativa-de-ahorro-y-credito-pacifico-1115871714.html
310;Data Scientist;Encora;Lima, Lima;https://www.bumeran.com.pe/empleos/data-scientist-encora-1115952783.html
333;Arquitecto de Datos;SANITAS PERÚ EPS;Cercado De Lima, Lima;https://www.bumeran.com.pe/empleos/arquitecto-de-datos-sanitas-peru-eps-1115953061.html
357;ARQUITECTO DE DATOS AZURE;STEFANINI PERU S.A;Miraflores, Lima;https://www.bumeran.com.pe/empleos/arquitecto-de-datos-azure-stefanini-peru-s.a-1115942428.html
380;Data Engineer Senior;Confidencial;La Molina, Lima;https://www.bumeran.com.pe/empleos/data-engineer-senior-1115994160.html
405;Especialista de Data Analyst;BITEL;San Isidro, Lima;https://www.bumeran.com.pe/empleos/especialista-de-data-analyst-bitel-1115986252.html
428;Analista de Datos;Industrias San Miguel;Surco, Lima;https://www.bumeran.com.pe/empleos/analista-de-datos-industrias-san-miguel-1115991406.html
451;Analista de Data Science;G.W. Yichang Cia. S.A.;San Isidro, Lima;https://www.bumeran.com.pe/empleos/analista-de-data-science-g.w.-yichang-cia.-s.a.-1115972371.html
475;Ingenierio de Datos;Deprodeca;Surquillo, Lima;https://www.bumeran.com.pe/empleos/ingenierio-de-datos-deprodeca-1115988043.html
501;UPN: Data Analyst;Laureate Perú;Lima, Lima;https://www.bumeran.com.pe/empleos/upn-data-analyst-laureate-peru-1115943798.html
533;Administrador Base de datos;BC DIGITAL SERVICES PERU S.A.C;Lima, Lima;https://www.bumeran.com.pe/empleos/administrador-base-de-datos-bc-digital-services-peru-s.a.c-1115987742.html
558;Subgerente de Datos;SKY AIRLINE;Lima, Lima;https://www.bumeran.com.pe/empleos/subgerente-de-datos-sky-airline-1115989242.html
581;Ingeniero de datos;Talma Servicios Aeroportuarios;Callao, Lima;https://www.bumeran.com.pe/empleos/ingeniero-de-datos-talma-servicios-aeroportuarios-1115991505.html
604;Ingeniero de datos;Talma Servicios Aeroportuarios;Callao, Lima;https://www.bumeran.com.pe/empleos/ingeniero-de-datos-talma-servicios-aeroportuarios-1115967434.html
627;Ingeniero de datos;Talma Servicios Aeroportuarios;Callao, Lima;https://www.bumeran.com.pe/empleos/ingeniero-de-datos-talma-servicios-aeroportuarios-1115947145.html
652;Científico de Datos;Deprodeca;Surquillo, Lima;https://www.bumeran.com.pe/empleos/cientifico-de-datos-deprodeca-1115956783.html
675;DATA CONTROL - PROYECTO;Confidencial;Lima, Lima;https://www.bumeran.com.pe/empleos/data-control-proyecto-1115944411.html
698;DATA ARCHITECT - AREQUIPA;ESTILOS SRL;Arequipa, Arequipa;https://www.bumeran.com.pe/empleos/data-architect-arequipa-estilos-srl-1115909436.html
721;Senior Data Processing;Caja Arequipa;San Isidro, Lima;https://www.bumeran.com.pe/empleos/senior-data-processing-caja-arequipa-1115993273.html
745;Senior Data Scientist ACOE;Caja Arequipa;San Isidro, Lima;https://www.bumeran.com.pe/empleos/senior-data-scientist-acoe-caja-arequipa-1115999021.html
769;Practicante de Data Analytics;ALFIN BANCO;Surco, Lima;https://www.bumeran.com.pe/empleos/practicante-de-data-analytics-alfin-banco-1115998992.html
792;INGENIERO DE DATOS - AREQUIPA;ESTILOS SRL;Arequipa, Arequipa;https://www.bumeran.com.pe/empleos/ingeniero-de-datos-arequipa-estilos-srl-1115977341.html
815;Cientifico de Datos;Talma Servicios Aeroportuarios;Callao, Lima;https://www.bumeran.com.pe/empleos/cientifico-de-datos-talma-servicios-aeroportuarios-1115990911.html
839;Cientifico de Datos;Talma Servicios Aeroportuarios;Callao, Lima;https://www.bumeran.com.pe/empleos/cientifico-de-datos-talma-servicios-aeroportuarios-1115981502.html
863;Analista de Datos (Presencial);Crazy Llama;Miraflores, Lima;https://www.bumeran.com.pe/empleos/analista-de-datos-presencial-crazy-llama-1115982035.html
886;Ingeniero Big Data AWS;JOY IT;San Borja, Lima;https://www.bumeran.com.pe/empleos/ingeniero-big-data-aws-joy-it-1115972764.html
909;Analista de datos;Experis;Santiago de Surco, Lima;https://www.bumeran.com.pe/empleos/analista-de-datos-experis-1115955896.html
932;Big Data Engineer;INDRA PERU;La Victoria, Lima;https://www.bumeran.com.pe/empleos/big-data-engineer-indra-peru-1115958288.html
955;Analista de Datos - Presencial;GLOBAL HITSS;Lima, Lima;https://www.bumeran.com.pe/empleos/analista-de-datos-presencial-global-hitss-1115934342.html
